scenario,layer,lr,L,H,bs,mse_train,mse_val
com,mlp,0.01,4,16,4,0.013774260740889156,0.013646892528852513
com,mlp,0.01,4,16,2,0.013776652644509854,0.013676758245404425
com,mlp,0.001,4,32,2,0.013688420350460903,0.013713545342586163
com,mlp,0.01,4,16,8,0.013612500480983569,0.013717240075869807
com,mlp,0.01,4,32,8,0.013679427013772985,0.013729018881788542
com,mlp,0.001,4,32,8,0.01372239085967126,0.01374513891943056
com,mlp,0.01,4,32,4,0.013868309136318124,0.013746890239417553
com,mlp,0.001,5,16,2,0.013651797871874727,0.013747321457826886
com,mlp,0.001,4,16,2,0.013603262327935385,0.01375167513394664
com,mlp,0.01,5,32,2,0.013703048852798732,0.013751788498384172
com,mlp,0.01,5,16,2,0.013722459971904754,0.013752373834622317
com,mlp,0.01,5,16,8,0.013988944264533726,0.013757304561420762
com,mlp,0.001,4,16,4,0.013637620121564555,0.013761103217457903
com,mlp,0.01,4,32,2,0.013737438416675381,0.013765251970496672
com,mlp,0.01,5,16,4,0.013635762141126653,0.013765603303909302
com,mlp,0.001,4,32,4,0.01367068629225959,0.01376590622460534
com,mlp,0.01,5,32,8,0.013603218571971292,0.013768225474732703
com,mlp,0.001,4,16,8,0.013678065541645756,0.013768626633903077
com,mlp,0.001,5,32,2,0.013622477257867222,0.013770922456450504
com,mlp,0.001,5,32,4,0.013626253653479659,0.013771124135959765
com,mlp,0.001,5,16,4,0.013642572652062644,0.01378085443364649
com,mlp,0.001,5,16,8,0.013720817487362934,0.013782714220598853
com,mlp,0.01,5,32,4,0.01381172780757365,0.013782851237418323
com,mlp,0.001,5,32,8,0.013622362369104572,0.013787942183814171
com,mlp,0.0001,5,32,2,0.013637060356204924,0.013802573181174952
com,mlp,0.0001,4,16,2,0.01356657724827528,0.013804013937197882
com,mlp,0.0001,4,32,2,0.013706753492031409,0.01380503455433866
com,mlp,0.0001,5,32,4,0.013607900549212227,0.013813536068231895
com,mlp,0.0001,4,32,4,0.013654907663231311,0.0138214401547508
com,mlp,0.0001,4,16,4,0.013615022559204827,0.013821881633765739
com,mlp,0.0001,5,32,8,0.013644136771883654,0.013841956773580149
com,mlp,0.0001,4,32,8,0.013751366386271042,0.01385292402821882
com,mlp,0.0001,5,16,4,0.01359627148055512,0.013857092724406514
com,mlp,0.0001,4,16,8,0.013647310346688913,0.013857156969606876
com,mlp,0.0001,5,16,8,0.013702548554410105,0.01387263606463013
com,mlp,0.0001,5,16,2,0.013785898385812408,0.01388931640520178
